TrainOrTest,Target,Location,Data split ratio,Median,OW,OW*,CWM,CEWM,SSIN,SSDE,RegE,RegC,RegS,Lambda_RegE,Lambda_RegC,Lambda_RegS
Train,4,7,5,-0.0821,0.3683,0.1723,-0.0116,0.0800,0.1395,0.1624,0.3683,0.3683,0.1624,,,
Train,4,7,6,-0.1902,0.2620,0.1768,-0.3802,-0.0960,0.1574,0.1588,0.0000,0.1183,0.1588,,,
Train,4,7,7,-0.1756,0.2436,0.1570,-0.3844,-0.1778,0.1271,0.1324,0.0000,0.1179,0.1384,,,
Train,4,7,8,-0.1709,0.2387,0.1531,-0.4001,-0.1835,0.1074,0.1287,0.2387,0.1116,0.1291,,,
Train,4,7,9,-0.1318,0.1406,0.1023,-0.2833,-0.0876,0.0833,0.0848,0.0000,0.0646,0.0848,,,
Train,4,8,1,0.4692,0.9197,0.6779,0.3393,0.4127,0.6202,0.6144,0.0000,0.3393,0.6144,,,
Train,4,8,2,0.4867,0.7354,0.6671,0.3608,0.3377,0.5402,0.5670,0.7354,0.5673,0.5678,,,
Train,4,8,3,0.1847,0.5708,0.4368,0.1337,0.1951,0.3219,0.3219,0.5708,0.5708,0.4133,,,
Train,4,8,4,0.1102,0.4296,0.3098,0.0582,0.0588,0.2694,0.2702,0.4296,0.4296,0.2702,,,
Train,4,8,5,0.1756,0.4217,0.3005,0.1114,0.1597,0.2645,0.2639,0.4217,0.4217,0.2643,,,
Train,4,8,6,0.0770,0.3468,0.2451,0.0023,0.0602,0.1923,0.1938,0.3468,0.3468,0.3468,,,
Train,4,8,7,0.1242,0.3444,0.2330,0.0345,0.0907,0.2102,0.2173,0.3444,0.3444,0.2173,,,
Train,4,8,8,0.1227,0.3522,0.2413,0.0518,0.0999,0.2140,0.2257,0.3522,0.3522,0.3522,,,
Train,4,8,9,0.0939,0.2883,0.2012,0.0272,0.0701,0.1896,0.1948,0.2883,0.2883,0.1948,,,
Train,4,9,1,0.5403,0.6280,0.8091,0.5033,0.5130,0.7469,0.7189,0.7240,0.5302,0.7198,,,
Train,4,9,2,0.5247,0.8725,0.7359,0.5318,0.5276,0.7138,0.6463,0.8725,0.8725,0.8725,,,
Train,4,9,3,0.2692,0.4651,0.3953,0.2352,0.2401,0.3839,0.3833,0.4651,0.2352,0.3833,,,
Train,4,9,4,0.1519,0.4357,0.3582,0.1005,0.1918,0.3497,0.3372,0.4357,0.4357,0.3372,,,
Train,4,9,5,0.1761,0.3635,0.3081,0.1569,0.1678,0.2982,0.3016,0.3635,0.3635,0.3016,,,
Train,4,9,6,0.1146,0.3717,0.2974,0.0892,0.1106,0.2869,0.2887,0.3717,0.3717,0.2887,,,
Train,4,9,7,0.1197,0.3220,0.2846,0.0961,0.1168,0.2751,0.2770,0.3220,0.3220,0.2770,,,
Train,4,9,8,0.1183,0.3151,0.2811,0.0912,0.1126,0.2682,0.2669,0.3151,0.3151,0.2669,,,
Train,4,9,9,0.1229,0.2846,0.2650,0.0961,0.1170,0.2560,0.2580,0.2846,0.2846,0.2582,,,
Train,4,10,1,0.2873,0.9434,0.5296,0.0885,0.0996,0.4927,0.4927,0.0007,0.0885,0.4932,,,
Train,4,10,2,0.2896,0.6268,0.4256,0.1376,0.1650,0.3823,0.3823,0.6268,0.2852,0.3823,,,
Train,4,10,3,0.2221,0.4691,0.3194,0.0629,0.0760,0.2785,0.2905,0.4691,0.0778,0.2905,,,
Train,4,10,4,0.0555,0.3690,0.2735,-0.0388,0.0410,0.2465,0.2465,0.3690,0.3690,0.2465,,,
Train,4,10,5,0.0355,0.3305,0.2549,-0.0149,-0.0427,0.2281,0.2281,0.3305,0.3305,0.2425,,,
Train,4,10,6,0.0283,0.3074,0.2412,-0.0379,-0.0685,0.2077,0.2081,0.3074,0.3074,0.2213,,,
Train,4,10,7,0.0418,0.2827,0.2288,-0.0306,-0.0530,0.1952,0.1946,0.2827,0.2827,0.1946,,,
Train,4,10,8,0.0477,0.2596,0.2260,0.0005,-0.0289,0.1969,0.1972,0.2596,0.2596,0.2000,,,
Train,4,10,9,0.0539,0.2245,0.2009,0.0161,0.0010,0.1774,0.1749,0.2245,0.2245,0.1825,,,
Train,4,11,1,0.6802,0.9416,0.7916,0.6040,0.6076,0.7501,0.7432,0.0006,0.6040,0.7432,,,
Train,4,11,2,0.5944,0.8098,0.7429,0.5845,0.5774,0.6939,0.6939,0.8098,0.5845,0.6939,,,
Train,4,11,3,0.3717,0.6445,0.5940,0.3524,0.3478,0.5134,0.5046,0.6445,0.6445,0.5025,,,
Train,4,11,4,0.3455,0.5965,0.5316,0.3311,0.3281,0.4796,0.4659,0.5965,0.5965,0.4659,,,
Train,4,11,5,0.2938,0.5493,0.4433,0.2774,0.2821,0.3984,0.3998,0.5493,0.5493,0.3998,,,
Train,4,11,6,0.1980,0.5088,0.4251,0.1780,0.1816,0.3388,0.3315,0.5088,0.5088,0.5088,,,
Train,4,11,7,0.1946,0.4162,0.3652,0.1737,0.1780,0.3025,0.3117,0.4162,0.4162,0.3117,,,
Train,4,11,8,0.1833,0.3914,0.3369,0.1600,0.1638,0.2927,0.2859,0.3914,0.3914,0.2859,,,
Train,4,11,9,0.1494,0.3319,0.2921,0.1263,0.1286,0.2629,0.2675,0.3319,0.3319,0.2675,,,
Test,1,1,1,0.0663,-1.4870,-0.4926,-1.0488,-0.1044,-0.4055,-0.3240,0.0000,-0.3048,-0.3240,61800.00,500.00,63000.00
Test,1,1,2,0.0613,-0.4500,0.2063,0.1952,0.1982,0.1985,0.1985,0.0096,0.1970,0.1993,500.00,200.00,100.00
Test,1,1,3,0.0564,0.1025,0.2318,0.2079,0.1962,0.2424,0.2423,0.2574,0.2054,0.2417,0.11,300.00,100.00
Test,1,1,4,0.0927,0.0958,0.0920,0.1438,0.1558,0.1282,0.0931,0.1668,0.1511,0.0984,5400.00,400.00,300.00
Test,1,1,5,0.1107,0.0913,0.1243,0.1742,0.1750,0.1369,0.1368,0.1387,0.1190,0.1175,0.46,24500.00,5100.00
Test,1,1,6,0.0966,0.0222,0.0529,0.1777,0.1700,0.1419,0.1417,0.0902,0.1750,0.1388,0.68,100.00,100.00
Test,1,1,7,0.1240,0.1234,0.1267,0.1947,0.1858,0.1674,0.1671,0.1384,0.1830,0.1630,0.83,1100.00,100.00
Test,1,1,8,0.1569,0.2214,0.2263,0.2583,0.2333,0.1980,0.1978,0.2217,0.2214,0.1985,0.86,6500.00,6600.00
Test,1,1,9,0.1764,0.3274,0.3056,0.2981,0.2137,0.2778,0.2777,0.0112,0.3003,0.2786,3200.00,700.00,300.00
Test,1,2,1,0.0928,-0.2823,-0.0571,0.0785,-0.0646,-0.0667,-0.0671,0.0000,0.0441,-0.0674,5500.00,300.00,86400.00
Test,1,2,2,0.0895,0.0763,0.1531,0.1445,0.1626,0.1646,0.1638,0.1017,0.1445,0.1638,8400.00,100000.00,100000.00
Test,1,2,3,0.0820,0.0932,0.1634,0.1486,0.1595,0.1621,0.1598,0.1748,0.1486,0.1784,0.53,15100.00,1400.00
Test,1,2,4,0.0788,0.1054,0.1599,0.1790,0.1538,0.1481,0.1459,0.1554,0.1790,0.1459,0.93,1800.00,1900.00
Test,1,2,5,0.0579,-0.0013,0.1130,0.1365,0.1118,0.0927,0.0897,0.0468,0.1353,0.0900,0.55,2100.00,6300.00
Test,1,2,6,0.0601,0.0326,0.1118,0.1290,0.0980,0.1079,0.1060,0.0932,0.1290,0.1060,0.85,9900.00,9300.00
Test,1,2,7,0.0630,0.0431,0.1014,0.1223,0.0880,0.0990,0.0970,0.0799,0.1223,0.1062,0.52,2600.00,2700.00
Test,1,2,8,0.0713,0.0619,0.1083,0.1208,0.0903,0.0963,0.0940,0.1006,0.1207,0.0947,0.63,1500.00,2000.00
Test,1,2,9,0.1259,0.1206,0.1529,0.1585,0.1179,0.1407,0.1372,0.1413,0.1585,0.1372,0.59,4300.00,5500.00
Test,1,3,1,0.0881,-0.3472,0.0207,0.1514,0.1518,0.0394,0.0380,0.0000,0.1476,0.0320,36200.00,9000.00,8300.00
Test,1,3,2,0.0875,-0.0754,0.1238,0.1751,0.1745,0.1301,0.1292,0.0422,0.2046,0.1783,0.42,2100.00,2900.00
Test,1,3,3,0.0824,0.1285,0.2389,0.2260,0.1793,0.2419,0.2404,0.2670,0.2042,0.2196,0.58,100000.00,100000.00
Test,1,3,4,0.0871,0.1339,0.2273,0.2326,0.1692,0.2332,0.2332,0.1549,0.2333,0.2333,4800.00,300.00,100.00
Test,1,3,5,0.0944,0.2935,0.2398,0.2397,0.1935,0.2335,0.2335,0.1991,0.2358,0.2334,2.00,300.00,700.00
Test,1,3,6,0.0951,0.3416,0.2793,0.2458,0.1690,0.2852,0.2841,0.2950,0.2494,0.2857,0.72,15900.00,100.00
Test,1,3,7,0.1083,0.3527,0.2883,0.2565,0.1809,0.2965,0.2962,0.3112,0.2592,0.2966,0.76,200.00,400.00
Test,1,3,8,0.1346,0.4046,0.2813,0.3351,0.2879,0.3045,0.2312,0.3802,0.4012,0.2318,0.71,0.27,100.00
Test,1,3,9,0.1767,0.5627,0.4178,0.3943,0.3044,0.4448,0.4422,0.5391,0.3985,0.4406,0.66,18200.00,200.00
Test,1,4,1,0.0407,-0.6016,-0.1583,-0.3242,-0.1011,-0.2214,-0.2819,-0.0614,-0.3273,-0.2558,7100.00,900.00,1600.00
Test,1,4,2,0.0318,-0.3861,-0.1499,0.0513,0.1168,-0.2022,-0.2022,-0.2033,-0.1882,-0.2048,0.36,0.41,7800.00
Test,1,4,3,0.0222,-0.1980,-0.1096,0.1075,0.1147,-0.0160,-0.0155,-0.0281,0.1214,-0.0237,0.77,4200.00,100.00
Test,1,4,4,0.0595,-0.0132,0.0833,0.1390,0.1202,0.1388,0.1388,0.1595,0.1383,0.1529,4800.00,100.00,1700.00
Test,1,4,5,0.0643,0.1674,0.1129,0.1593,0.1377,0.1439,0.1439,0.0231,0.1591,0.1909,6100.00,100.00,18900.00
Test,1,4,6,0.0790,-0.0232,0.1721,0.1915,0.1731,0.1640,0.1649,0.0627,0.1909,0.1596,0.45,100.00,6600.00
Test,1,4,7,0.0799,-0.0018,0.1967,0.2222,0.1985,0.2223,0.2223,0.0731,0.2211,0.2169,0.42,12600.00,2200.00
Test,1,4,8,0.1320,0.0721,0.2149,0.2590,0.2106,0.2403,0.2403,0.2891,0.2689,0.2486,13200.00,20800.00,16700.00
Test,1,4,9,0.1194,0.2167,0.3459,0.3413,0.3239,0.3303,0.3303,0.2726,0.3413,0.3335,0.66,98000.00,10900.00
Test,1,5,1,0.0867,-0.2880,-0.2068,-0.0094,0.0919,-0.0864,-0.0581,-0.3693,-0.3684,-0.3705,0.00,0.00,0.00
Test,1,5,2,0.0860,0.0260,0.2277,0.0869,0.0982,0.1660,0.1807,0.0857,0.1379,0.1795,4200.00,3000.00,100.00
Test,1,5,3,0.0946,0.2194,0.3013,0.1051,0.1810,0.3153,0.3154,0.0501,0.2452,0.2634,8900.00,0.26,85400.00
Test,1,5,4,0.1027,0.1382,0.2806,0.1452,0.1967,0.2773,0.2774,-0.0016,0.1949,0.2739,3700.00,2000.00,100.00
Test,1,5,5,0.1014,0.1434,0.3147,0.1749,0.2008,0.2111,0.2589,-0.0116,0.1542,0.2616,10000.00,3400.00,5200.00
Test,1,5,6,0.1153,0.2648,0.3550,0.2687,0.2205,0.3193,0.4179,0.3626,0.2691,0.3874,0.96,100.00,31900.00
Test,1,5,7,0.1162,0.2946,0.3723,0.2749,0.2241,0.3281,0.3654,0.3570,0.2851,0.3655,2.00,6800.00,100.00
Test,1,5,8,0.1154,0.3596,0.4065,0.3040,0.2299,0.3340,0.3725,0.3623,0.3045,0.3726,2.00,100.00,100.00
Test,1,5,9,0.1221,0.4478,0.4676,0.3433,0.2287,0.4779,0.4779,0.4148,0.3433,0.4779,3.00,9300.00,18000.00
Test,1,6,1,0.0177,-1.2430,-0.4439,-0.2127,-0.1418,-0.3066,-0.3067,-0.0158,-0.3850,-0.2553,100.00,400.00,900.00
Test,1,6,2,0.0068,-0.1014,0.1446,0.1186,0.1231,0.0902,0.0901,0.0000,0.1186,0.0901,16600.00,17400.00,12100.00
Test,1,6,3,0.0157,0.0065,0.1256,0.0587,0.1424,0.1411,0.0735,0.0091,0.0667,0.0894,2000.00,400.00,9000.00
Test,1,6,4,0.0285,0.1386,0.1779,0.1316,0.1448,0.1278,0.1593,0.0891,0.1436,0.1544,2700.00,10600.00,600.00
Test,1,6,5,0.0579,0.1183,0.1775,0.1896,0.1791,0.1644,0.1474,0.0000,0.1896,0.1474,56400.00,29300.00,58800.00
Test,1,6,6,0.1472,0.0202,0.1606,0.1907,0.1794,0.1585,0.1580,0.0037,0.1907,0.1580,6100.00,300.00,100.00
Test,1,6,7,0.1639,0.0836,0.1708,0.2077,0.1904,0.1711,0.1705,0.0249,0.2089,0.1720,2500.00,4600.00,4700.00
Test,1,6,8,0.1745,0.0540,0.1768,0.2157,0.2064,0.1780,0.1773,-0.0007,0.2134,0.1771,7000.00,16700.00,6500.00
Test,1,6,9,0.2414,-0.0120,0.2386,0.2998,0.3008,0.2516,0.2518,0.1614,0.2918,0.2578,56300.00,30700.00,100000.00
Test,1,7,1,0.1152,-0.3634,0.0645,0.0596,0.0708,0.1097,0.1097,0.0402,0.0596,0.1097,1100.00,20100.00,16300.00
Test,1,7,2,0.1119,-0.2779,0.1103,0.1641,0.1683,0.1061,0.1061,-0.1738,0.1641,0.1061,0.04,51600.00,79200.00
Test,1,7,3,0.1135,0.0799,0.1910,0.1930,0.1722,0.1996,0.2065,0.1259,0.2297,0.2065,0.13,18900.00,20100.00
Test,1,7,4,0.1150,0.1561,0.1672,0.2181,0.1831,0.1822,0.1922,0.1929,0.1743,0.2026,6.00,13600.00,10600.00
Test,1,7,5,0.1244,0.0499,0.1520,0.2102,0.1909,0.1720,0.1791,0.1441,0.1156,0.1777,1.00,0.41,3500.00
Test,1,7,6,0.1789,-0.0974,0.1140,0.2202,0.2182,0.1174,0.1212,-0.0523,0.1901,0.0913,100000.00,45900.00,20800.00
Test,1,7,7,0.1850,-0.0282,0.1264,0.2282,0.2278,0.1803,0.1852,0.2680,0.2280,0.1777,7.00,100.00,3300.00
Test,1,7,8,0.1938,0.0554,0.1626,0.2545,0.2497,0.2009,0.2061,0.0251,0.2927,0.2123,18900.00,49000.00,6400.00
Test,1,7,9,0.2161,0.0655,0.1952,0.2718,0.2704,0.1966,0.2033,0.3511,0.2718,0.2033,11.00,15800.00,21600.00
Test,1,8,1,0.1080,-1.5014,0.0158,-0.0169,0.1333,-0.1547,-0.1547,0.0000,-0.0169,-0.1547,1400.00,2200.00,4300.00
Test,1,8,2,0.1128,-0.3518,0.0676,-0.1383,0.1838,-0.1577,-0.1577,0.0026,-0.2590,-0.2263,1000.00,0.15,2800.00
Test,1,8,3,0.1207,-0.3215,0.1227,-0.0895,0.1865,0.0992,0.0992,-0.2138,-0.2728,0.0215,0.33,0.13,7900.00
Test,1,8,4,0.1050,0.0651,0.1687,0.0595,0.1755,0.1627,0.1685,0.1582,0.0643,0.1624,5600.00,13700.00,5300.00
Test,1,8,5,0.1285,0.1215,0.1714,0.1814,0.2119,0.1942,0.1944,0.1020,0.1814,0.1960,6300.00,58500.00,300.00
Test,1,8,6,0.1646,0.1251,0.1454,0.1829,0.2468,0.1684,0.1612,-0.0091,0.2389,0.1628,13200.00,6600.00,200.00
Test,1,8,7,0.1746,0.1264,0.1355,0.1854,0.2633,0.1770,0.1664,0.1226,0.1636,0.1671,1.00,8.00,200.00
Test,1,8,8,0.1814,0.1489,0.1533,0.2034,0.2570,0.1770,0.1671,0.1394,0.1738,0.1661,7.00,8.00,200.00
Test,1,8,9,0.2078,0.2121,0.2564,0.2873,0.3268,0.2372,0.2060,-0.0166,0.1920,0.2018,100000.00,70600.00,99100.00
Test,1,9,1,0.0001,-1.3632,-0.6884,-0.7769,-0.1031,-0.5110,-0.8350,0.0038,-0.7080,-0.8595,400.00,400.00,400.00
Test,1,9,2,-0.0028,-0.3049,-0.1986,-0.4071,-0.0384,-0.0080,-0.1389,0.0000,-0.3853,-0.1389,500.00,100.00,1100.00
Test,1,9,3,-0.0102,-0.0630,0.0557,-0.0510,-0.0040,0.0661,0.0735,0.0354,-0.0586,0.0735,4400.00,500.00,35800.00
Test,1,9,4,-0.0899,-0.1444,-0.0272,-0.0248,0.0201,-0.0184,-0.0151,0.0031,-0.0318,-0.0199,2000.00,100.00,100.00
Test,1,9,5,-0.0513,-0.0843,0.0263,-0.0090,0.0658,0.0356,0.0271,0.0000,0.0462,0.0179,2600.00,4000.00,300.00
Test,1,9,6,-0.0179,-0.1528,-0.0665,-0.1145,-0.0446,-0.0835,-0.0614,-0.0011,-0.0509,-0.0618,29700.00,16500.00,100.00
Test,1,9,7,-0.0025,-0.1172,-0.0503,-0.0965,-0.0355,-0.0619,-0.0374,0.0188,-0.0965,-0.0378,3000.00,50900.00,100.00
Test,1,9,8,0.0029,-0.1500,-0.0650,-0.0791,-0.0349,-0.0836,-0.0261,-0.0458,-0.1067,-0.0306,4400.00,39500.00,200.00
Test,1,9,9,0.0061,-0.2791,-0.0211,-0.2770,0.0267,-0.0237,0.0034,0.0773,-0.2766,0.0047,11100.00,9200.00,100.00
Test,1,10,1,-0.0037,-0.4849,-0.1929,0.0979,0.0801,-0.2855,-0.2855,-0.2163,-0.1284,-0.4053,6700.00,8000.00,20400.00
Test,1,10,2,0.0151,-0.5316,-0.1126,-0.0498,0.0668,-0.0396,-0.0410,-0.4951,-0.4918,-0.4968,0.10,0.10,0.08
Test,1,10,3,0.0152,-0.3210,-0.0488,-0.0056,0.0555,-0.0555,-0.0571,-0.2169,-0.1507,-0.1890,0.84,1.00,1.00
Test,1,10,4,0.0262,-0.3836,-0.0948,0.0260,0.0270,-0.1269,-0.1290,-0.3578,-0.3543,-0.3671,0.14,0.11,0.11
Test,1,10,5,0.0464,-0.2327,-0.0839,-0.0049,-0.0131,-0.0436,-0.0686,-0.2188,-0.2153,-0.2223,0.09,0.09,0.11
Test,1,10,6,0.0392,-0.2603,-0.0995,-0.0113,-0.0341,-0.0965,-0.0984,-0.2237,-0.2290,-0.2333,0.25,0.15,0.16
Test,1,10,7,0.0712,-0.2158,-0.0848,-0.0210,-0.0606,-0.0491,-0.0386,-0.1972,-0.1935,-0.0876,0.14,0.12,2.00
Test,1,10,8,0.1066,-0.1962,-0.1124,-0.0644,-0.0801,-0.0871,-0.0833,-0.1884,-0.0647,-0.0815,0.09,2.00,75600.00
Test,1,10,9,0.1132,-0.0266,-0.0373,-0.0121,-0.0478,0.0022,-0.0463,-0.0249,-0.0121,-0.0463,0.27,90000.00,100000.00
Test,1,11,1,0.1370,-0.5435,0.0351,-0.0144,0.1476,0.0969,0.0554,0.0121,-0.0076,0.0486,2100.00,40200.00,100.00
Test,1,11,2,0.1370,-0.0272,0.1090,0.1399,0.1726,0.1568,0.1567,0.0000,0.1398,0.1567,7700.00,100000.00,4300.00
Test,1,11,3,0.1503,0.1235,0.1764,0.1687,0.1799,0.1582,0.1581,0.1241,0.1667,0.1580,0.03,900.00,800.00
Test,1,11,4,0.1802,0.0363,0.2188,0.2175,0.2361,0.2105,0.1162,0.1015,0.2285,0.1191,3600.00,14800.00,100.00
Test,1,11,5,0.2328,-0.0454,0.2270,0.3292,0.2809,0.2706,0.1920,-0.0191,0.0162,0.1920,0.12,0.16,100.00
Test,1,11,6,0.2555,0.0146,0.2623,0.3538,0.3249,0.2565,0.3296,0.0147,0.1089,0.0183,0.00,0.25,0.03
Test,1,11,7,0.2603,0.0718,0.2749,0.3583,0.2969,0.2581,0.2761,0.0718,0.0718,0.0722,0.00,0.00,0.00
Test,1,11,8,0.2683,0.0997,0.2678,0.3708,0.3599,0.2542,0.3178,0.1119,0.1232,0.1001,0.13,0.15,0.00
Test,1,11,9,0.2956,0.1924,0.3244,0.3890,0.3154,0.2568,0.2933,0.1924,0.1924,0.1930,0.00,0.00,0.00
Test,2,1,1,-0.0075,-4.3363,-0.5398,-0.1787,-0.1174,-0.3699,-0.3994,0.0000,-0.1787,-0.3994,4800.00,4400.00,400.00
Test,2,1,2,-0.0115,-0.5916,0.0312,-0.1626,-0.1227,-0.0010,-0.0010,0.0000,-0.1626,-0.0010,2300.00,2200.00,900.00
Test,2,1,3,-0.0113,-0.6283,0.1000,-0.1340,-0.1230,0.1192,0.1192,0.0000,-0.1340,0.1192,300.00,400.00,400.00
Test,2,1,4,-0.0130,-0.2179,-0.1410,-0.1624,-0.1321,-0.1257,-0.2309,0.0008,-0.1624,-0.2299,300.00,12200.00,200.00
Test,2,1,5,-0.0101,-0.1103,-0.1459,-0.1665,-0.1372,-0.1451,-0.2567,-0.1033,-0.1665,-0.2515,0.32,4500.00,100.00
Test,2,1,6,-0.0177,-0.1269,-0.0171,-0.1277,-0.1403,0.0025,0.0023,-0.0032,-0.1277,0.0023,1.00,5800.00,64500.00
Test,2,1,7,-0.0179,-0.0993,0.0623,-0.1522,-0.1496,0.0213,0.0324,0.0303,-0.1522,0.0324,0.18,10300.00,48500.00
Test,2,1,8,-0.0095,-0.0217,0.0855,-0.1281,-0.1478,0.0410,0.0302,0.1200,-0.1281,0.0302,0.55,41100.00,39900.00
Test,2,1,9,0.0000,0.0147,0.1268,-0.1099,-0.1465,0.1555,0.1862,0.1546,0.1513,0.1862,0.18,0.22,500.00
Test,2,2,1,0.0676,-0.9426,0.0848,0.0320,0.0064,-0.0053,-0.0070,0.0000,0.0320,-0.0070,88900.00,24500.00,24500.00
Test,2,2,2,0.0140,-0.6027,0.0867,-0.0002,-0.0105,-0.0165,-0.0081,0.0564,0.0001,-0.0040,3.00,900.00,1100.00
Test,2,2,3,0.0089,-1.0869,0.0978,0.0157,-0.0118,0.0879,0.0879,0.0816,0.0170,0.0879,1.00,400.00,1100.00
Test,2,2,4,-0.0093,-0.8542,0.0523,0.0078,0.0201,0.0441,0.0441,-0.2532,-0.1673,0.0360,0.89,1.00,800.00
