TrainOrTest,Data,Sample Size,Median,OW,OW*,CWM,CEWM,SSIN,SSDE,RegE,RegC,RegS,Lambda_RegE,Lambda_RegC,Lambda_RegS
Train,18,2,-0.0004,0.2921,0.0034,0.0095,0.0074,0.0114,0.0114,0.0000,0.0095,0.0114,,,
Train,18,3,-0.0005,0.1419,0.0094,0.0105,0.0083,0.0126,0.0126,0.0000,0.0105,0.0126,,,
Train,18,4,-0.0029,0.1966,0.0045,0.0101,0.0084,0.0121,0.0121,0.1364,0.1457,0.1414,,,
Train,18,5,-0.0026,0.0401,0.0085,0.0076,0.0068,0.0085,0.0085,0.0000,0.0076,0.0085,,,
Train,18,6,-0.0017,0.0813,NA,0.0129,0.0104,0.0151,0.0151,0.0047,0.0129,0.0151,,,
Train,18,7,-0.0019,0.0800,NA,0.0139,0.0107,0.0160,0.0160,0.0597,0.0139,0.0160,,,
Train,18,8,-0.0076,0.1411,NA,0.0316,0.0316,0.0316,0.0316,0.1364,0.1355,0.1355,,,
Train,18,9,-0.0050,0.1107,NA,0.0222,0.0222,0.0222,0.0222,0.1044,0.1054,0.1054,,,
Train,19,1,0.0041,0.1338,0.0075,0.0068,0.0051,0.0075,0.0075,0.0000,0.0068,0.0075,,,
Train,19,2,0.0040,0.0762,0.0086,0.0076,0.0059,0.0086,0.0086,0.0000,0.0076,0.0086,,,
Train,19,3,0.0021,0.0795,0.0085,0.0064,0.0047,0.0085,0.0085,0.0668,0.0064,0.0085,,,
Train,19,4,0.0023,0.0677,0.0094,0.0072,0.0053,0.0094,0.0094,0.0620,0.0340,0.0094,,,
Train,19,5,0.0003,0.0276,0.0064,0.0046,0.0037,0.0064,0.0064,0.0000,0.0046,0.0064,,,
Train,19,6,-0.0001,0.0688,NA,0.0102,0.0081,0.0127,0.0127,0.0330,0.0102,0.0127,,,
Train,19,7,-0.0003,0.0503,NA,0.0093,0.0084,0.0112,0.0112,0.0000,0.0093,0.0112,,,
Train,19,8,-0.0152,0.1303,NA,0.0511,0.0511,0.0511,0.0511,0.1102,0.1112,0.1112,,,
Train,19,9,-0.0083,0.1051,NA,0.0329,0.0329,0.0329,0.0329,0.0942,0.0911,0.0911,,,
Train,20,1,0.0013,0.1707,0.0165,0.0161,0.0083,0.0165,0.0165,0.0000,0.0161,0.0165,,,
Train,20,2,0.0018,0.1273,0.0165,0.0145,0.0095,0.0165,0.0165,0.0570,0.0145,0.0165,,,
Train,20,3,0.0023,0.0814,0.0090,0.0081,0.0079,0.0090,0.0090,0.0697,0.0697,0.0697,,,
Train,20,4,0.0014,0.1212,0.0096,0.0110,0.0109,0.0116,0.0116,0.0543,0.0645,0.0696,,,
Train,20,5,-0.0016,0.0459,NA,0.0145,0.0100,0.0159,0.0159,0.0273,0.0146,0.0159,,,
Train,20,6,-0.0003,0.0818,NA,0.0147,0.0135,0.0163,0.0163,0.0714,0.0720,0.0691,,,
Train,20,7,-0.0005,0.0721,NA,0.0157,0.0138,0.0174,0.0174,0.0618,0.0640,0.0640,,,
Train,20,8,-0.0115,0.1345,NA,0.0480,0.0480,0.0480,0.0480,0.1328,0.1318,0.1318,,,
Train,20,9,-0.0086,0.1187,NA,0.0373,0.0373,0.0373,0.0373,0.1132,0.1115,0.1115,,,
Train,21,1,-0.0005,0.2709,0.0260,0.0216,0.0183,0.0260,0.0260,0.1405,0.0216,0.0260,,,
Train,21,2,-0.0003,0.2302,0.0141,0.0217,0.0201,0.0257,0.0257,0.1745,0.1745,0.1764,,,
Train,21,3,0.0021,0.1548,0.0144,0.0122,0.0112,0.0144,0.0144,0.1421,0.1422,0.1449,,,
Train,21,4,-0.0024,0.1565,NA,0.0144,0.0075,0.0169,0.0169,0.1523,0.1528,0.1542,,,
Train,21,5,-0.0033,0.0554,NA,0.0182,0.0100,0.0184,0.0184,0.0473,0.0438,0.0437,,,
Train,21,6,-0.0032,0.0835,NA,0.0170,0.0120,0.0188,0.0188,0.0558,0.0773,0.0774,,,
Train,21,7,-0.0034,0.0797,NA,0.0187,0.0125,0.0203,0.0203,0.0569,0.0755,0.0755,,,
Train,21,8,-0.0109,0.1218,NA,0.0438,0.0438,0.0438,0.0438,0.1204,0.1196,0.1196,,,
Train,21,9,-0.0110,0.1440,NA,0.0403,0.0403,0.0403,0.0403,0.1424,0.1406,0.1406,,,
Train,22,1,-0.0022,0.3334,0.0308,0.0257,0.0227,0.0308,0.0308,0.3051,0.3050,0.3052,,,
Train,22,2,0.0006,0.1521,0.0211,0.0183,0.0167,0.0211,0.0211,0.0879,0.0857,0.0797,,,
Train,22,3,0.0017,0.1114,0.0169,0.0145,0.0110,0.0169,0.0169,0.0872,0.0844,0.0823,,,
Train,22,4,-0.0035,0.2030,NA,0.0190,0.0114,0.0203,0.0203,0.1967,0.1957,0.1957,,,
Train,22,5,-0.0056,0.0947,NA,0.0243,0.0243,0.0243,0.0243,0.0852,0.0820,0.0820,,,
Train,22,6,-0.0050,0.0915,NA,0.0237,0.0237,0.0237,0.0237,0.0891,0.0871,0.0871,,,
Train,22,7,-0.0053,0.0864,NA,0.0252,0.0252,0.0252,0.0252,0.0844,0.0834,0.0834,,,
Train,22,8,-0.0107,0.1654,NA,0.0472,0.0472,0.0472,0.0472,0.1649,0.1630,0.1630,,,
Train,22,9,-0.0105,0.1714,NA,0.0446,0.0446,0.0446,0.0446,0.1708,0.1704,0.1704,,,
Train,23,1,0.0001,0.6206,0.0294,0.0248,0.0229,0.0294,0.0294,0.6098,0.6113,0.6113,,,
Train,23,2,0.0024,0.2909,0.0182,0.0152,0.0138,0.0182,0.0182,0.2625,0.2641,0.2648,,,
Train,23,3,0.0012,0.2049,0.0174,0.0146,0.0117,0.0174,0.0174,0.1882,0.1866,0.1849,,,
Train,23,4,-0.0048,0.2860,NA,0.0238,0.0137,0.0252,0.0252,0.2795,0.2804,0.2803,,,
Train,23,5,-0.0045,0.1690,NA,0.0259,0.0158,0.0279,0.0279,0.1429,0.1425,0.1419,,,
Train,23,6,-0.0043,0.1602,NA,0.0269,0.0143,0.0274,0.0274,0.1462,0.1463,0.1463,,,
Train,23,7,-0.0046,0.1308,NA,0.0284,0.0151,0.0288,0.0288,0.1225,0.1221,0.1221,,,
Train,23,8,-0.0072,0.2191,NA,0.0449,0.0449,0.0449,0.0449,0.2191,0.2191,0.2191,,,
Train,23,9,-0.0072,0.2556,NA,0.0449,0.0236,0.0457,0.0457,0.2493,0.2484,0.2484,,,
Train,24,1,0.0034,0.1733,0.0620,0.0501,0.0295,0.0606,0.0606,0.0000,0.0501,0.0606,,,
Train,24,2,0.0164,0.0993,0.0669,0.0626,0.0289,0.0669,0.0669,0.0000,0.0626,0.0669,,,
Train,24,3,0.0032,0.0628,0.0412,0.0412,0.0412,0.0412,0.0412,0.0000,0.0412,0.0412,,,
Train,24,4,-0.0023,0.1011,0.0438,0.0434,0.0291,0.0380,0.0380,0.1011,0.1011,0.1011,,,
Train,24,5,0.0024,0.1118,0.0373,0.0312,0.0338,0.0338,0.0338,0.0000,0.0312,0.0338,,,
Train,24,6,0.0072,0.0674,0.0280,0.0245,0.0102,0.0318,0.0318,0.0000,0.0245,0.0318,,,
Train,24,7,0.0063,0.0420,0.0283,0.0274,0.0130,0.0283,0.0283,0.0000,0.0274,0.0283,,,
Train,24,8,-0.0133,0.0133,0.0055,0.0016,0.0049,0.0049,0.0049,0.0000,0.0016,0.0049,,,
Train,24,9,0.0027,0.0394,0.0144,0.0158,0.0075,0.0170,0.0170,0.0000,0.0158,0.0170,,,
Train,25,1,0.0069,0.3031,0.1188,0.0985,0.0837,0.1188,0.1188,0.0000,0.0985,0.1188,,,
Train,25,2,0.0087,0.4215,0.1587,0.1388,0.1025,0.1587,0.1587,0.4109,0.4099,0.4062,,,
Train,25,3,0.0113,0.1114,0.0409,0.0395,0.0159,0.0409,0.0409,0.0000,0.0395,0.0409,,,
Train,25,4,0.0195,0.0024,0.0024,-0.0045,0.0020,0.0020,0.0020,0.0000,-0.0045,0.0020,,,
Train,25,5,-0.0030,0.1251,0.0397,0.0347,0.0231,0.0397,0.0397,0.0000,0.0347,0.0397,,,
Train,25,6,0.0201,0.0789,0.0299,0.0299,0.0299,0.0299,0.0299,0.0000,0.0299,0.0299,,,
Train,25,7,0.0202,0.0619,0.0313,0.0307,0.0301,0.0305,0.0305,0.0000,0.0307,0.0305,,,
Train,25,8,0.0060,0.0177,0.0147,0.0136,0.0141,0.0141,0.0141,0.0000,0.0136,0.0141,,,
Train,25,9,0.0092,0.0597,0.0140,0.0119,0.0101,0.0140,0.0140,0.0000,0.0119,0.0140,,,
Train,26,1,-0.0590,0.1656,0.0776,0.0766,0.0596,0.0765,0.0765,0.0000,0.0766,0.0765,,,
Train,26,2,-0.0033,0.3099,0.1257,0.1257,0.1257,0.1257,0.1257,0.2637,0.2559,0.2559,,,
Train,26,3,-0.0120,0.1134,0.0474,0.0474,0.0348,0.0466,0.0466,0.0000,0.0474,0.0466,,,
Train,26,4,-0.0089,0.1141,0.0598,0.0591,0.0235,0.0581,0.0581,0.0792,0.0591,0.0581,,,
Train,26,5,-0.0016,0.0418,0.0184,0.0184,0.0184,0.0184,0.0184,0.0000,0.0184,0.0184,,,
Train,26,6,0.0001,0.0431,0.0211,0.0209,0.0098,0.0221,0.0221,0.0000,0.0209,0.0221,,,
Train,26,7,0.0019,0.0498,0.0216,0.0177,0.0162,0.0211,0.0211,0.0000,0.0177,0.0211,,,
Train,26,8,-0.0147,0.0326,0.0280,0.0277,0.0255,0.0255,0.0255,0.0000,0.0277,0.0255,,,
Train,26,9,0.0027,0.0622,0.0203,0.0215,0.0197,0.0214,0.0214,0.0000,0.0215,0.0214,,,
Train,27,1,-0.0523,0.2854,0.1571,0.1547,0.1057,0.1547,0.1547,0.0000,0.1547,0.1547,,,
Train,27,2,-0.0044,0.5858,0.1616,0.1616,0.1616,0.1616,0.1616,0.5517,0.5453,0.5453,,,
Train,27,3,-0.0019,0.1898,0.0528,0.0524,0.0528,0.0528,0.0528,0.0000,0.0524,0.0528,,,
Train,27,4,-0.0072,0.3407,0.0729,0.0641,0.0407,0.0729,0.0729,0.3408,0.3408,0.3274,,,
Train,27,5,-0.0008,0.0335,0.0152,0.0140,0.0090,0.0151,0.0151,0.0000,0.0140,0.0151,,,
Train,27,6,0.0008,0.0276,0.0141,0.0166,0.0137,0.0184,0.0184,0.0000,0.0166,0.0184,,,
Train,27,7,0.0015,0.0269,0.0144,0.0125,0.0087,0.0134,0.0134,0.0000,0.0125,0.0134,,,
Train,27,8,-0.0068,0.0194,0.0151,0.0127,0.0147,0.0147,0.0147,0.0000,0.0127,0.0147,,,
Train,27,9,0.0019,0.0505,0.0118,0.0111,0.0107,0.0107,0.0107,0.0000,0.0111,0.0107,,,
Train,29,1,-0.0334,0.1985,0.1191,0.1186,0.1169,0.1169,0.1169,0.0587,0.1186,0.1169,,,
Train,29,2,-0.0137,0.3224,0.1150,0.1150,0.1150,0.1150,0.1150,0.3122,0.3072,0.3072,,,
Train,29,3,-0.0130,0.0834,0.0440,0.0440,0.0343,0.0421,0.0421,0.0000,0.0440,0.0421,,,
Train,29,4,0.0002,0.1445,0.0425,0.0417,0.0409,0.0412,0.0412,0.1441,0.1441,0.1437,,,
Train,29,5,0.0047,0.1315,0.0351,0.0296,0.0233,0.0351,0.0351,0.0765,0.0898,0.0782,,,
Train,29,6,0.0063,0.1186,0.0272,0.0265,0.0264,0.0266,0.0266,0.1104,0.0265,0.0794,,,
Train,29,7,0.0047,0.0722,0.0233,0.0232,0.0232,0.0232,0.0232,0.0000,0.0232,0.0232,,,
Train,29,8,-0.0009,0.0144,0.0091,0.0083,0.0059,0.0083,0.0083,0.0000,0.0083,0.0083,,,
Train,29,9,-0.0003,0.0482,0.0165,0.0160,0.0158,0.0158,0.0158,0.0000,0.0160,0.0158,,,
Train,30,1,-0.0253,0.2821,0.1396,0.1256,0.1148,0.1396,0.1396,0.0000,0.1256,0.1396,,,
Train,30,2,-0.0017,0.3192,0.1221,0.1221,0.1221,0.1221,0.1221,0.3141,0.3127,0.3127,,,
Train,30,3,0.0005,0.0907,0.0522,0.0522,0.0394,0.0497,0.0497,0.0000,0.0522,0.0497,,,
Train,30,4,0.0010,0.2763,0.0698,0.0695,0.0694,0.0694,0.0694,0.2763,0.2763,0.2763,,,
Train,30,5,-0.0073,0.1603,0.0411,0.0353,0.0324,0.0411,0.0411,0.1395,0.1418,0.0411,,,
Train,30,6,0.0099,0.1390,0.0356,0.0312,0.0182,0.0372,0.0372,0.1335,0.1315,0.1365,,,
Train,30,7,0.0068,0.0996,0.0222,0.0249,0.0191,0.0315,0.0315,0.0781,0.0808,0.0935,,,
Train,30,8,0.0040,0.0605,0.0244,0.0225,0.0186,0.0241,0.0241,0.0000,0.0225,0.0241,,,
Train,30,9,0.0034,0.0400,0.0129,0.0134,0.0093,0.0156,0.0156,0.0000,0.0134,0.0156,,,
Train,31,1,0.0291,0.3796,0.0754,0.0604,0.0296,0.0754,0.0754,0.3801,0.3801,0.3801,,,
Train,31,2,0.0238,0.1150,0.0460,0.0350,0.0177,0.0460,0.0460,0.0000,0.0350,0.0460,,,
Train,31,3,-0.0017,0.0587,0.0212,0.0205,0.0136,0.0197,0.0197,0.0000,0.0205,0.0197,,,
Train,31,4,-0.0039,0.0540,0.0203,0.0203,0.0202,0.0202,0.0202,0.0000,0.0203,0.0202,,,
Train,31,5,-0.0050,0.1134,0.0332,0.0330,0.0331,0.0331,0.0331,0.1135,0.0330,0.0331,,,
Train,31,6,-0.0003,0.1067,0.0346,0.0303,0.0259,0.0346,0.0346,0.0994,0.0303,0.0346,,,
Train,31,7,0.0028,0.0707,0.0406,0.0390,0.0206,0.0406,0.0406,0.0584,0.0390,0.0406,,,
Train,31,8,-0.0059,0.0306,0.0239,0.0229,0.0122,0.0239,0.0239,0.0000,0.0229,0.0239,,,
Train,31,9,0.0084,0.0586,0.0319,0.0264,0.0222,0.0314,0.0314,0.0510,0.0264,0.0314,,,
Train,32,1,0.0109,0.4002,0.0736,0.0637,0.0560,0.0736,0.0736,0.0000,0.0637,0.1162,,,
Train,32,2,0.0071,0.2476,0.0642,0.0567,0.0536,0.0642,0.0642,0.0000,0.0567,0.0642,,,
Train,32,3,-0.0025,0.0561,0.0149,0.0142,0.0102,0.0144,0.0144,0.0000,0.0142,0.0144,,,
Train,32,4,-0.0012,0.0463,0.0156,0.0147,0.0093,0.0155,0.0155,0.0000,0.0147,0.0155,,,
Train,32,5,-0.0083,0.1029,0.0802,0.0785,0.0452,0.0802,0.0802,0.0000,0.0785,0.0802,,,
Train,32,6,-0.0012,0.2056,0.0458,0.0457,0.0455,0.0455,0.0455,0.2009,0.1973,0.1973,,,
Train,32,7,-0.0023,0.1772,0.0576,0.0522,0.0475,0.0576,0.0576,0.1769,0.1769,0.1769,,,
Train,32,8,-0.0062,0.1235,0.0438,0.0419,0.0392,0.0437,0.0437,0.0425,0.0419,0.0437,,,
Train,32,9,-0.0007,0.1262,0.0466,0.0416,0.0385,0.0466,0.0466,0.1088,0.0847,0.0466,,,
Train,33,1,0.0087,0.5710,0.1018,0.0878,0.0582,0.1018,0.1018,0.5713,0.5713,0.5713,,,
Train,33,2,0.0034,0.1959,0.0624,0.0548,0.0211,0.0624,0.0624,0.1960,0.0548,0.0624,,,
Train,33,3,-0.0043,0.0170,0.0148,0.0145,0.0104,0.0148,0.0148,0.0000,0.0145,0.0148,,,
Train,33,4,-0.0092,0.0433,0.0241,0.0240,0.0241,0.0241,0.0241,0.0000,0.0240,0.0241,,,
Train,33,5,-0.0256,0.0698,0.0634,0.0611,0.0325,0.0634,0.0634,0.0000,0.0611,0.0634,,,
Train,33,6,0.0004,0.1836,0.0501,0.0480,0.0466,0.0500,0.0500,0.1836,0.1829,0.1836,,,
Train,33,7,-0.0031,0.1749,0.0913,0.0796,0.0572,0.0913,0.0913,0.1579,0.1562,0.1607,,,
Train,33,8,-0.0115,0.1087,0.0591,0.0559,0.0522,0.0589,0.0589,0.0681,0.0559,0.0589,,,
Train,33,9,-0.0020,0.1239,0.0608,0.0557,0.0522,0.0608,0.0608,0.1207,0.1019,0.0608,,,
Train,34,1,0.0137,0.5344,0.1384,0.1182,0.1005,0.1384,0.1384,0.4122,0.4125,0.4122,,,
Train,34,2,0.0034,0.1906,0.0790,0.0693,0.0635,0.0790,0.0790,0.0000,0.0693,0.0790,,,
Train,34,3,-0.0069,0.0507,0.0212,0.0212,0.0211,0.0211,0.0211,0.0000,0.0212,0.0211,,,
Train,34,4,-0.0069,0.1986,0.0796,0.0707,0.0615,0.0796,0.0796,0.1986,0.1986,0.1986,,,
Train,34,5,0.0008,0.1606,0.1368,0.1198,0.1006,0.1368,0.1368,0.1512,0.1198,0.1368,,,
Train,34,6,0.0040,0.2563,0.0902,0.0864,0.0853,0.0902,0.0902,0.2551,0.2563,0.2563,,,
Train,34,7,-0.0042,0.2222,0.1169,0.1016,0.0921,0.1169,0.1169,0.2055,0.2157,0.2063,,,
Train,34,8,-0.0109,0.1490,0.0852,0.0787,0.0744,0.0852,0.0852,0.1240,0.0787,0.0852,,,
Train,34,9,0.0026,0.1385,0.0897,0.0801,0.0776,0.0897,0.0897,0.1261,0.1312,0.0897,,,
Train,35,1,-0.0054,0.5412,0.1883,0.1790,0.1030,0.1883,0.1883,0.4776,0.4687,0.4657,,,
Train,35,2,-0.0038,0.2277,0.1161,0.1161,0.1161,0.1161,0.1161,0.2077,0.1161,0.1161,,,
Train,35,3,-0.0103,0.0425,0.0253,0.0253,0.0166,0.0252,0.0252,0.0000,0.0253,0.0252,,,
Train,35,4,0.0055,0.1308,0.0499,0.0487,0.0469,0.0491,0.0491,0.0000,0.0487,0.0491,,,
Train,35,5,0.0199,0.1972,0.1601,0.1437,0.1293,0.1601,0.1601,0.1958,0.1943,0.1601,,,
Train,35,6,0.0113,0.2228,0.1073,0.1071,0.1069,0.1069,0.1069,0.2198,0.2179,0.2184,,,
Train,35,7,0.0019,0.2294,0.1191,0.1092,0.1062,0.1191,0.1191,0.2033,0.2125,0.2190,,,
Train,35,8,-0.0048,0.1619,0.0966,0.0866,0.0823,0.0966,0.0966,0.1374,0.1463,0.1432,,,
Train,35,9,0.0109,0.1578,0.1059,0.0898,0.0860,0.1059,0.1059,0.1512,0.1466,0.1552,,,
Train,36,1,0.0008,0.5548,0.2114,0.2114,0.2114,0.2114,0.2114,0.5152,0.4917,0.4917,,,
Train,36,2,0.0001,0.3660,0.1420,0.1395,0.0759,0.1420,0.1420,0.3661,0.3661,0.3661,,,
Train,36,3,-0.0131,0.0409,0.0139,0.0131,0.0098,0.0111,0.0111,0.0000,0.0131,0.0111,,,
Train,36,4,0.0022,0.1063,0.0454,0.0449,0.0450,0.0450,0.0450,0.0000,0.0449,0.0450,,,
Train,36,5,0.0206,0.2065,0.1644,0.1566,0.1515,0.1644,0.1644,0.2036,0.1999,0.2019,,,
Train,36,6,0.0125,0.2167,0.1156,0.1156,0.1156,0.1156,0.1156,0.2131,0.2134,0.2138,,,
Train,36,7,0.0047,0.2645,0.1254,0.1220,0.1214,0.1254,0.1254,0.2487,0.2566,0.2554,,,
Train,36,8,-0.0037,0.1810,0.0960,0.0855,0.0825,0.0960,0.0960,0.1740,0.1682,0.1668,,,
Train,36,9,-0.0012,0.1546,0.0950,0.0771,0.0727,0.0950,0.0950,0.1546,0.1546,0.1426,,,
Train,37,1,-0.0079,0.7899,0.2218,0.2218,0.2218,0.2218,0.2218,0.6721,0.7902,0.7902,,,
Train,37,2,-0.0058,0.4623,0.1383,0.1383,0.1383,0.1383,0.1383,0.4211,0.4119,0.4119,,,
Train,37,3,-0.0067,0.0835,0.0295,0.0294,0.0211,0.0291,0.0291,0.0000,0.0294,0.0291,,,
Train,37,4,0.0054,0.1117,0.0450,0.0450,0.0450,0.0450,0.0450,0.0000,0.0450,0.0450,,,
Train,37,5,0.0177,0.1763,0.1483,0.1396,0.1345,0.1483,0.1483,0.1670,0.1725,0.1721,,,
Train,37,6,0.0088,0.2013,0.0936,0.0935,0.0936,0.0936,0.0936,0.1587,0.1629,0.1631,,,
Train,37,7,0.0034,0.2869,0.1209,0.1161,0.1154,0.1209,0.1209,0.2855,0.2822,0.2822,,,
Train,37,8,-0.0021,0.1991,0.0905,0.0783,0.0742,0.0905,0.0905,0.1816,0.1696,0.1718,,,
Train,37,9,-0.0169,0.1435,0.0771,0.0603,0.0501,0.0771,0.0771,0.1435,0.1434,0.1195,,,
Test,1,1,-0.0156,-0.0242,-0.0232,-0.0483,-0.0485,0.0000,-0.0485,0.0000,-0.0483,-0.0485,600.00,3400.00,3400.00
Test,1,2,-0.0157,-0.0525,-0.0238,-0.0632,-0.0007,-0.0007,-0.0007,0.0000,-0.0632,-0.0007,56100.00,100000.00,2400.00
Test,1,3,-0.0157,-0.0123,-0.0074,-0.0595,-0.0005,-0.0005,-0.0005,0.0000,-0.0595,-0.0005,3600.00,4300.00,4500.00
Test,1,4,-0.0161,0.0156,0.0156,0.0034,0.0084,0.0084,0.0084,0.0000,0.0034,0.0084,76800.00,78400.00,2300.00
Test,1,5,-0.0127,-0.0052,-0.0029,-0.0082,-0.0015,-0.0015,-0.0015,0.0000,-0.0082,-0.0015,4800.00,31600.00,61500.00
Test,1,6,-0.0134,-0.0101,0.0046,-0.0268,0.0076,0.0076,0.0076,0.0000,-0.0268,0.0076,90500.00,82400.00,75800.00
Test,1,7,-0.0144,-0.0367,-0.0275,-0.0939,-0.0537,-0.0537,-0.0537,0.0000,-0.0939,-0.0537,57100.00,17700.00,67500.00
Test,1,8,0.0107,-0.1037,NA,-0.0622,-0.0298,-0.0298,-0.0298,-0.0932,-0.0622,-0.0298,2900.00,90900.00,24100.00
Test,1,9,0.0593,-0.1410,NA,-0.0468,-0.1027,-0.1027,-0.1027,0.0000,-0.0468,-0.1027,36600.00,34200.00,19100.00
Test,2,1,-0.0250,0.0040,0.0109,0.0066,0.0117,0.0117,0.0117,0.0000,0.0117,0.0117,2000.00,1000.00,100000.00
Test,2,2,-0.0257,-0.0101,0.0053,0.0007,0.0035,0.0035,0.0035,0.0000,0.0007,0.0035,60700.00,6600.00,68300.00
Test,2,3,-0.0251,-0.0419,-0.0104,-0.0127,0.0030,-0.0149,-0.0149,0.0000,-0.0127,-0.0149,54300.00,4800.00,57900.00
Test,2,4,-0.0266,-0.0136,-0.0160,-0.0309,-0.0164,-0.0164,-0.0164,0.0000,-0.0309,-0.0164,98600.00,89000.00,10600.00
Test,2,5,-0.0337,-0.1082,-0.0486,-0.0355,-0.0297,-0.0297,-0.0297,0.0000,-0.0355,-0.0297,71200.00,77200.00,76500.00
Test,2,6,-0.0434,-0.0216,0.0080,-0.0024,-0.0054,0.0055,0.0055,0.0000,-0.0024,0.0055,92900.00,92700.00,94500.00
Test,2,7,-0.0439,-0.0286,NA,-0.0038,-0.0071,0.0031,0.0031,0.0000,-0.0038,0.0031,63400.00,63000.00,69100.00
Test,2,8,-0.0066,-0.1481,NA,-0.0815,-0.0515,-0.0917,-0.0917,0.0000,-0.0815,-0.0917,80200.00,78500.00,42200.00
Test,2,9,-0.0133,-0.0957,NA,-0.0779,-0.0763,-0.0959,-0.0959,0.0000,-0.0779,-0.0959,70300.00,34600.00,80200.00
Test,3,1,-0.0265,0.0125,0.0103,-0.0190,0.0122,0.0122,0.0122,0.0076,0.0074,0.0122,1200.00,900.00,4900.00
Test,3,2,-0.0270,-0.0010,0.0114,-0.0079,0.0121,0.0121,0.0121,-0.0017,0.0011,0.0121,0.00,300.00,2800.00
Test,3,3,-0.0249,-0.0990,-0.0526,-0.0736,-0.0318,-0.0318,-0.0318,0.0000,-0.0736,-0.0318,57800.00,65300.00,27300.00
